,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000102693,0.0,,,,,
ENSMUSG00000064842,0.0,,,,,
ENSMUSG00000051951,1.486309862640914,-1.0402777814130624,1.9897937228178488,-0.522806846500587,0.6011086746763923,
ENSMUSG00000102851,0.0,,,,,
ENSMUSG00000103377,0.0,,,,,
ENSMUSG00000104017,0.0,,,,,
ENSMUSG00000103025,0.0,,,,,
ENSMUSG00000089699,0.0,,,,,
ENSMUSG00000103201,0.0,,,,,
ENSMUSG00000103147,0.0,,,,,
ENSMUSG00000103161,0.0,,,,,
ENSMUSG00000102331,0.7502316561846276,-1.0462861672509491,2.9994651788487157,-0.3488242419445406,0.7272212627487553,
ENSMUSG00000102348,0.0,,,,,
ENSMUSG00000102592,0.0,,,,,
ENSMUSG00000088333,0.0,,,,,
ENSMUSG00000102343,0.0,,,,,
ENSMUSG00000025900,0.0,,,,,
ENSMUSG00000102948,0.0,,,,,
ENSMUSG00000104123,0.0,,,,,
ENSMUSG00000025902,2.2377452750526303,-1.84055202540804,1.7829133152638255,-1.0323283861591923,0.3019183076041251,
ENSMUSG00000104238,0.0,,,,,
ENSMUSG00000102269,0.48861660626429804,-0.03950254044242079,3.564499922368016,-0.01108221105421653,0.9911578558925659,
ENSMUSG00000096126,0.24115500607230983,1.398990556967072,5.283372411655957,0.26479120682098367,0.7911703111296011,
ENSMUSG00000103003,0.0,,,,,
ENSMUSG00000104328,0.0,,,,,
ENSMUSG00000102735,0.0,,,,,
ENSMUSG00000098104,3.4576737551425207,-0.04549858345933914,1.3148211370331686,-0.03460439004046172,0.972395200851961,
ENSMUSG00000102175,0.0,,,,,
ENSMUSG00000088000,0.0,,,,,
ENSMUSG00000103265,0.0,,,,,
ENSMUSG00000103922,12.2945118429527,0.07583041653583539,0.7278269151312458,0.10418743104898949,0.917020608256125,0.9985560962208132
ENSMUSG00000033845,7.129014704257443,0.6694488598530665,0.9272435390710587,0.7219773788057245,0.4703083854932032,0.9985560962208132
ENSMUSG00000102275,0.24746160019198823,-1.4786538774115947,5.23595680504693,-0.28240375779768134,0.7776339339114023,
ENSMUSG00000025903,1.2199771723675512,1.9623701950141577,2.395564946352927,0.8191680204712142,0.4126905577695493,
ENSMUSG00000104217,0.0,,,,,
ENSMUSG00000033813,9.067402749226995,0.8491107698410649,0.8646004100267213,0.9820846254454383,0.3260581590956124,0.9985560962208132
ENSMUSG00000062588,4.187060169939572,-0.5580660571929384,1.243322325239604,-0.4488506687800302,0.6535393845265924,
ENSMUSG00000103280,0.24746160019198823,-1.4786538774115947,5.23595680504693,-0.28240375779768134,0.7776339339114023,
ENSMUSG00000002459,4.412473301186138,1.3315568537802631,1.2333840192304488,1.0795963244367863,0.2803219789162208,
ENSMUSG00000091305,0.0,,,,,
ENSMUSG00000102653,0.0,,,,,
ENSMUSG00000085623,0.0,,,,,
ENSMUSG00000091665,0.0,,,,,
ENSMUSG00000033793,7.386730672512272,0.348905905759366,0.9090900465502457,0.38379686047974104,0.7011290151775188,0.9985560962208132
ENSMUSG00000104352,0.0,,,,,
ENSMUSG00000104046,0.0,,,,,
ENSMUSG00000102907,0.0,,,,,
ENSMUSG00000025905,0.25256443808457796,-1.4932422510179597,5.197878619950921,-0.2872791690991928,0.7738985713765494,
ENSMUSG00000103936,0.0,,,,,
ENSMUSG00000093015,0.0,,,,,
ENSMUSG00000103519,0.0,,,,,
ENSMUSG00000033774,0.7376671602229316,0.9717855188576969,3.016402113449625,0.3221670991823903,0.7473261078356641,
ENSMUSG00000103090,0.0,,,,,
ENSMUSG00000025907,9.330942729506624,0.42001213030729845,0.8227376773843702,0.5105055254581168,0.6096973445361855,0.9985560962208132
ENSMUSG00000090031,0.48231001214461966,2.3926517129597897,4.147215161729223,0.5769297274564721,0.5639869277840199,
ENSMUSG00000087247,0.0,,,,,
ENSMUSG00000103355,0.25256443808457796,-1.4932422510179597,5.197878619950921,-0.2872791690991928,0.7738985713765494,
ENSMUSG00000102706,0.0,,,,,
ENSMUSG00000103845,0.0,,,,,
ENSMUSG00000033740,1.9686198747855337,-0.044048826785197635,1.7159818715724777,-0.02566975066282753,0.9795207513772,
ENSMUSG00000103329,0.0,,,,,
ENSMUSG00000104385,0.0,,,,,
ENSMUSG00000102135,0.0,,,,,
ENSMUSG00000103282,0.0,,,,,
ENSMUSG00000102534,0.0,,,,,
ENSMUSG00000102213,0.0,,,,,
ENSMUSG00000103629,0.0,,,,,
ENSMUSG00000051285,20.15960475366643,0.24271496627215328,0.5797119679113928,0.4186820002123046,0.6754485522094089,0.9985560962208132
ENSMUSG00000098201,0.0,,,,,
ENSMUSG00000103509,0.0,,,,,
ENSMUSG00000048538,1.7274648687132237,-0.4576580479554105,1.8212391361145226,-0.25128937704017806,0.8015903876174291,
ENSMUSG00000103709,0.0,,,,,
